"";"ola";"c10_03";"n";"freq"
"1";"2016";"Totalmente en desacuerdo
o en desacuerdo";316;0,168085106382979
"2";"2016";"Ni de acuerdo
ni en desacuerdo";192;0,102127659574468
"3";"2016";"Totalmente de acuerdo
o de acuerdo";1372;0,729787234042553
"4";"2017";"Totalmente en desacuerdo
o en desacuerdo";296;0,157614483493078
"5";"2017";"Ni de acuerdo
ni en desacuerdo";150;0,0798722044728434
"6";"2017";"Totalmente de acuerdo
o de acuerdo";1432;0,762513312034079
"7";"2018";"Totalmente en desacuerdo
o en desacuerdo";197;0,104731525784157
"8";"2018";"Ni de acuerdo
ni en desacuerdo";150;0,0797448165869219
"9";"2018";"Totalmente de acuerdo
o de acuerdo";1534;0,815523657628921
"10";"2019";"Totalmente en desacuerdo
o en desacuerdo";159;0,0847096430474161
"11";"2019";"Ni de acuerdo
ni en desacuerdo";117;0,0623335109216835
"12";"2019";"Totalmente de acuerdo
o de acuerdo";1601;0,8529568460309
